Chanel Beauty,Tom Ford Beauty,La Prairie,Dior Beauty,La Mer,Shiseido,Augustinus Bader,Caudalie,SkinCeuticals,YSL Beauty,Sisley Paris,Lancome,Charlotte Tilburry,Kiehls,Laura Mercier,Year,Period,Value,luxury index
8.0,2.0,18.0,14.0,58.0,64.88573193329215,9.437924644842495,38.93143915997529,53.088326127239036,7.180451127819549,0.0,143.60902255639098,0.0,27.834836918806385,39.76405274115198,2024,Q02,4.2,32.315452347301196
6.0,1.0,17.0,13.0,55.0,61.34651019147621,9.437924644842495,35.392217418159355,55.44780728844966,7.180451127819549,0.0,136.42857142857144,0.0,30.485773768216514,47.716863289382374,2024,Q02,4.2,31.695741277127844
9.0,2.0,16.0,18.0,58.0,64.88573193329215,9.437924644842495,38.93143915997529,48.36936380481779,7.180451127819549,0.0,136.42857142857144,0.0,25.183900069396252,42.41498959056211,2024,Q02,4.2,31.72215811728514
7.0,1.0,16.0,21.0,56.0,61.34651019147621,9.437924644842495,36.57195799876467,48.36936380481779,7.180451127819549,0.0,136.42857142857144,0.0,25.183900069396252,45.06592643997224,2024,Q02,4.2,31.372307047044046
7.0,1.0,16.0,18.0,56.0,75.50339715873996,8.258184064237183,37.75169857936998,49.5491043854231,7.180451127819549,0.0,150.78947368421055,0.0,27.834836918806385,45.06592643997224,2024,Q02,4.2,33.32887149057193
6.0,2.0,15.0,15.0,56.0,70.78443483631871,8.258184064237183,37.75169857936998,48.36936380481779,7.180451127819549,0.0,150.78947368421055,0.0,23.858431644691187,39.76405274115198,2024,Q03,3.9,32.05040603217446
8.0,2.0,15.0,15.0,61.0,66.06547251389746,9.437924644842495,40.1111797405806,48.36936380481779,7.180451127819549,0.0,157.9699248120301,0.0,25.183900069396252,43.74045801526717,2024,Q03,3.9,33.27057831524343
8.0,2.0,18.0,16.0,60.0,58.98702903026559,8.258184064237183,37.75169857936998,51.908585546633724,7.180451127819549,0.0,150.78947368421055,0.0,25.183900069396252,42.41498959056211,2024,Q03,3.9,32.43162077949966
7.0,2.0,15.0,16.0,55.0,55.44780728844966,5.898702903026559,35.392217418159355,58.98702903026559,7.180451127819549,0.0,157.9699248120301,0.0,26.509368494101317,43.74045801526717,2024,Q03,3.9,32.40839727260795
7.0,1.0,16.0,16.0,53.0,58.98702903026559,9.437924644842495,35.392217418159355,53.088326127239036,7.180451127819549,0.0,143.60902255639098,0.0,25.183900069396252,43.74045801526717,2024,Q03,3.9,31.307955265958697
9.0,2.0,18.0,13.0,58.0,63.70599135268684,9.437924644842495,36.57195799876467,58.98702903026559,7.180451127819549,7.180451127819549,157.9699248120301,0.0,25.183900069396252,43.74045801526717,2024,Q03,3.9,33.997205878592816
9.0,2.0,17.0,15.0,55.0,57.80728844966028,12.977146386658431,34.21247683755404,57.80728844966028,7.180451127819549,0.0,165.15037593984962,0.0,23.858431644691187,46.3913948646773,2024,Q03,3.9,33.55899024670471
8.0,2.0,16.0,14.0,57.0,60.1667696108709,10.617665225447807,34.21247683755404,58.98702903026559,7.180451127819549,0.0,157.9699248120301,0.0,25.183900069396252,38.438584316446914,2024,Q03,3.9,32.65045340198874
8.0,2.0,17.0,14.0,57.0,60.1667696108709,8.258184064237183,35.392217418159355,54.26806670784435,7.180451127819549,0.0,157.9699248120301,0.0,27.834836918806385,46.3913948646773,2024,Q03,3.9,33.03078970162967
9.0,2.0,16.0,14.0,51.0,50.72884496602841,8.258184064237183,41.290920321185915,50.72884496602841,7.180451127819549,0.0,136.42857142857144,0.0,21.207494795281054,45.06592643997224,2024,Q03,3.9,30.192615873941616
7.0,0.0,15.0,13.0,53.0,58.98702903026559,8.258184064237183,51.908585546633724,54.26806670784435,7.180451127819549,0.0,157.9699248120301,0.0,21.207494795281054,43.74045801526717,2024,Q03,3.9,32.76801293995858
9.0,1.0,17.0,15.0,52.0,56.627547869054965,8.258184064237183,44.83014206300185,53.088326127239036,7.180451127819549,0.0,143.60902255639098,0.0,22.53296321998612,49.04233171408744,2024,Q03,3.9,31.944597916121143
8.0,2.0,17.0,15.0,54.0,50.72884496602841,8.258184064237183,44.83014206300185,54.26806670784435,7.180451127819549,0.0,165.15037593984962,0.0,23.858431644691187,43.74045801526717,2024,Q03,3.9,32.93433030191595
9.0,2.0,16.0,14.0,53.0,51.908585546633724,7.078443483631871,43.65040148239654,53.088326127239036,7.180451127819549,0.0,165.15037593984962,0.0,25.183900069396252,46.3913948646773,2024,Q04,3.8,32.908791909442925
9.0,1.0,15.0,19.0,52.0,55.44780728844966,9.437924644842495,47.189623224212475,55.44780728844966,7.180451127819549,0.0,165.15037593984962,0.0,25.183900069396252,45.06592643997224,2024,Q04,3.8,33.740254401532795
11.0,1.0,15.0,17.0,52.0,57.80728844966028,9.437924644842495,44.83014206300185,57.80728844966028,7.180451127819549,0.0,186.6917293233083,0.0,23.858431644691187,45.06592643997224,2024,Q04,3.8,35.24527880953041
